point_id;loss_sum_2013;loss_sum_2014;loss_sum_2015;loss_sum_2016;loss_sum_2017;loss_sum_2018;loss_sum_2019
26647_0;1;31;42;3;10827;577;5731
26648_0;0;0;2;0;0;0;0
26653_0;132;130;57;47;49;54;62
35023_0;105;151;113;26;37;10;34
35028_0;1274;784;702;796;798;202;90
35035_0;119;72;9;116;146;50;486
35039_0;0;0;0;0;0;0;0
35040_0;17;37;4;2;115;1;0
35049_0;0;0;0;0;0;0;0
35059_0;0;0;0;0;0;0;0
158356_0;4;197;645;70;609;128;157
158357_0;82;177;258;648;524;240;349
158377_0;0;0;0;2;1;0;0
158389_0;1;0;156;3;5382;350;575
158410_0;0;0;0;0;0;0;0
179168_0;0;28;0;0;1;35;0
179170_0;129;169;95;267;204;98;110
179172_0;195;167;12;222;273;8;16
179185_0;314;1163;3595;4860;2813;1912;2074
173685_0;3;1;0;0;0;0;0
173689_0;0;2;0;0;47;0;10
173693_0;4;0;0;1;157;0;0
173698_0;0;7;155;1;0;0;0
173700_0;226;193;171;254;640;382;1097
173726_0;449;67;617;1143;380;98;487
13426_0;25;0;10;130;1437;372;1542
13427_0;6;24;0;3;12;9;4
13433_0;65;13;0;3;2582;49;29
13443_0;108;536;87;320;147;380;283
13449_0;0;0;0;0;0;0;0
13454_0;0;41;18;0;1;4;45
13458_0;234;700;190;289;155;79;1390
15570_0;588;276;35;525;341;66;85
15584_0;0;0;0;0;1;0;0
15613_0;6;1;0;0;4;0;0
149136_0;37;8;0;0;75;57;11265
93089_0;54;106;24;275;577;959;101
93091_0;41;46;16;39;0;0;2
93095_0;0;0;0;0;871;12;0
93099_0;0;0;0;0;0;0;0
93109_0;0;148;0;317;0;813;104
93116_0;0;4;0;0;1;0;0
93122_0;9;1;3;684;164;24;0
93123_0;110;199;621;365;51;39;180
93125_0;132;381;844;1284;1005;300;45
123221_0;52;220;103;60;349;228;192
123230_0;1;0;1478;173;14;0;37
123231_0;245;67;94;24;7254;230;303
123248_0;20;494;44;477;257;16;32
123256_0;57;307;1160;594;1778;1344;122
123261_0;0;0;0;5;1;0;0
123274_0;2;102;21;12;26;21;9
123277_0;0;0;0;0;73;0;0
187950_0;0;0;0;0;0;0;0
187984_0;310;440;273;95;1659;1042;103
187988_0;324;982;250;28;1441;5;2682
187995_0;608;296;443;803;724;386;83
