,year,month,size,cloud_cover
796,2012,5,0,100.0
797,2012,6,0,100.0
798,2012,7,0,100.0
799,2012,8,0,100.0
800,2012,9,0,100.0
801,2012,10,0,100.0
802,2012,11,0,100.0
803,2012,12,0,100.0
804,2012,1,0,0.0
805,2012,2,0,0.0
806,2012,3,0,0.0
807,2012,4,0,0.0
808,2012,5,0,0.0
809,2012,6,0,0.0
810,2012,7,0,0.0
811,2012,8,0,0.0
812,2012,9,0,0.0
813,2012,10,0,0.0
814,2012,11,0,0.0
815,2012,12,0,0.0
816,2012,1,0,1.0
817,2012,2,0,1.0
818,2012,3,0,1.0
819,2012,4,0,1.0
820,2012,5,0,1.0
821,2012,6,0,1.0
822,2012,7,0,1.0
823,2012,8,0,1.0
824,2012,9,0,1.0
825,2012,10,0,1.0
826,2012,11,0,1.0
827,2012,12,0,1.0
828,2012,1,0,2.0
829,2012,2,0,2.0
830,2012,3,0,2.0
831,2012,4,0,2.0
832,2012,5,0,2.0
833,2012,6,0,2.0
834,2012,7,0,2.0
835,2012,8,0,2.0
836,2012,9,0,2.0
837,2012,10,0,2.0
838,2012,11,0,2.0
839,2012,12,0,2.0
840,2012,1,0,5.0
841,2012,2,0,5.0
842,2012,3,0,5.0
843,2012,4,0,5.0
844,2012,5,0,5.0
845,2012,6,0,5.0
846,2012,7,0,5.0
847,2012,8,0,5.0
848,2012,9,0,5.0
849,2012,10,0,5.0
850,2012,11,0,5.0
851,2012,12,0,5.0
852,2012,1,0,10.0
853,2012,2,0,10.0
854,2012,3,0,10.0
855,2012,4,0,10.0
856,2012,5,0,10.0
857,2012,6,0,10.0
858,2012,7,0,10.0
859,2012,8,0,10.0
860,2012,9,0,10.0
861,2012,10,0,10.0
862,2012,11,0,10.0
863,2012,12,0,10.0
